SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
97VUH3FP,The late Renaissance and Mannerism,Books,"Murray, Linda",,1967,F. A. Praeger,,RENAISSANCE,New York,"Italy; Mannerism (Art); Art, Late Renaissance",Praeger world of art series,,1967,,,215,
RBSNI6JL,Italian Masters Lent by the Royal Italian Government,Books,0,,1940,Museum of Modern Art,,RENAISSANCE - BAROQUE,,,,,1940,,,,
HJC97QJN,Larousse Encyclopedia of Renaissance and Baroque Art,Books,"Huyghe, Rene",,1967,Prometheus Press,,RENAISSANCE - BAROQUE,,,,,1967,,,,
P8V3FXKK,The Splendid Century: French Art: 1600-1715,Books,0,,1960,Metropolitan Museum of Art,,BAROQUE,,,,,1960,,,,
VV2AGV6J,Art in Seventeenth Century Holland,Books,0,,1976,"National Gallery, London",,BAROQUE,,,,,1976,,,,
95QWKXGF,Dutch Painting in the Golden Age: An Exhibition of Dutch Pictures of the Seventeenth Century,Books,0,,1954,Metropolitan Museum of Art,,BAROQUE,,,,,1954,,,,
NTZ7X6TT,The Age of Louis XV: French Painting 1710-1774,Books,"Rosenberg, Pierre",,1975,Toledo Museum of Art,,BAROQUE,,,,,1975,,,,
Y3ZRQ7Y6,Dutch Art and Architecture: 1600 to 1800,Books,"Rosenberg, Jakob; Slive",,1966,Penguin Books,,BAROQUE,,,,,1966,,,,
VBLZ269Q,Baroque Art and Architecture in Central Europe: Germany/ Austria/ Switzerland/ Hungary/ Czechoslovakia/ Poland,Books,"Hemper, Eberhard",,1965,Penguin Books,,BAROQUE,,,,,1965,,,,
HT5YJH92,The Hoogesteder Exhibition of Music & Painting in the Golden Age,Books,"Hoogsteder, John et al",,1994,Hoogsteder & Hoogsteder,,BAROQUE,,,,,1994,,,,
5HQBDL7S,The Art of Frederic Remington: An Exhibition Honoring Harold McCracken at the Whitney Gallery of Western Art,Books,0,,1974,,,Artist R,,,,,1974,,,,
QSBIVZNH,American Art Since 1900: A Critical History,Books,Barbara Rose,,1967,,,AMERICAN,,,,,1967,,,,
A7HCY92F,A Short History of Painting in America: The Story of 450 Years,Books,E. P Richardson,,1963,Thomas Y Crowell Co,,AMERICAN,,,,,1963,,,,
TKLSJNG8,"American Painting of the 19th Century: Realism, Idealism, and the American Experience",Books,Barbara Novak,,1969,Praeger Publishers,,AMERICAN,,,,,1969,,,,
Q3MPRGNF,All That is Glorious Around Us: Paintings from the Hudson River School on loan from a friend of the Museum of Art,Books,John Paul Driscoll,,1981,"Museum of Art , Pennsylvania State University University",,AMERICAN,,,,,1981,,,,
PQK75W55,Abstract Painting and Sculpture in America,Books,Andrew Carnduff Ritchie,,1951,"Museum of Modern Art, NY",,AMERICAN,,,,,1951,,,,
8SIECEFL,Art in the United States Capitol,Books,0,,1976,U.S. Govt. Print. Off,,AMERICAN,Washington,"In art; United States; Art; Washington (D.C.); Catalogs; United States Capitol (Washington, D.C.)","House document - 91st Congress, 2d session",,1976,,,453,
QWVT5K63,All Seasons and Every Light: Nineteenth Century American Landscape from the Collection of Elias Lyman Magoon,Books,Ella M. Foshay and Sally Mills,,1983,Vassar College Art Gallery,,AMERICAN,,,,,1983,,,,
RDSQ6BSA,Folk Art and Art Worlds,Books,John Michael Vlach and Simon J. Bronner,,1986,UMI Research Press,,AMERICAN,,,,,1986,,,,
9HTFCH9X,America's Old Masters,Books,James Thomas Flexner,,1969,Dover Publications,,AMERICAN,,,,,1969,,,,
GW4UH437,The Golden Age of Colonial Culture,Books,Thomas J. Wertendaker,,1949,Cornell University Press,,AMERICAN,,,,,1949,,,,
TQVJGABT,"Rediscoveries in American Sculpture: Studio Works, 1893-1939",Books,Janis Conner and Joel Rosenkranz,,1989,University of Texas Press,,AMERICAN,,,,,1989,,,,
