SI,Title,Type,Authors,ISBN,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
CEV3FVJG,Luke Swank,Books,"Hare, Clyde",,,Carnegie Institute,,ARTIST - S,,,,,,,,,
8EUGYK37,The Best Animals are the Flat Animals,Books,"Noever, Peter",,1998,Mak Center for Art and Architecture,,ARTIST - T,,,,,1998,,,,
23CPCKW8,yves tanguy,Books,"Soby, James Thrall",,1955,Museum of Modern Art,,ARTIST - T,,,,,1955,,,,
GMPP9TYK,"Paul Thek: Diver, A Retrospective",Books,Whitney Museum of American Art,,2011,Whitney Museum of American Art,,ARTIST - T,,,,,2011,,,,
QQCBTCKL,Louis Comfort Tiffany,Books,"Baal-Teshuva, Jacob",,2004,Taschen,,ARTIST - T,,,,,2004,,,,
MRPXR922,Mark Tobey,Books,"Seitz, William C.",,1962,Museum of Modern Art,,ARTIST - T,,,,,1962,,,,
N8B8Y4N7,Anthony Van Dyke,Books,"Liedtke, Walter A.",,1984,Metropolitan Museum of Art,,ARTIST - V,,,,,1984,,,,
CQ5RJNAH,Maurice Utrillo,Books,"von Groschwitz, Gustave",,1963,Carnegie Institute,,ARTIST - U,,,,,1963,,,,
XWZ5U5FX,"Vincent Van Gogh: Paintings, Water Colors and Drawings",Books,"Van Gogh, V. W.",,1962,Carnegie Institute,,ARTIST - V,,,,,1962,,,,
CFFZT4WE,Van Gogh: Paintings and Drawings,Books,"Rich, Daniel Catton",,1949,Metropolitan Museum of Art,,ARTIST - V,,,,,1949,,,,
IHKPBZ43,Van Gogh and Gauguin's Journey,Books,"Goldin, Marco",,2011,Linea d'ombra,,ARTIST - V,,,,,2011,,,,
U262RBZG,Letters to an Artist,Books,"van Gogh, Vincent",,1936,Viking Press,,ARTIST - V,,,,,1936,,,,
5W54CGAT,Vincent van Gogh: Paintings and Drawings,Books,"Van Gogh, V. W.",,1973,National Museum of Vincent van Gogh,,ARTIST - V,,,,,1973,,,,
FFF6CND7,Vincent van Gogh: A Psychosocial Perspective,Books,"Rahe, Richard H.",,1991,Upjohn Company,,ARTIST - V,,,,,1991,,,,
IGN8U6YA,Vincent van Gogh and the Birth of Cloisonism,Books,"Welsh-Ovcharov, Bogomila",,1981,Art Gallery of Ontario,,ARTIST - V,,,,,1981,,,,
QJANXEX8,Vincent van Gogh,Books,"Tralbaut, Marc Edo",,1969,Chartwell Books,,ARTIST - V,,,,,1969,,,,
YZN9IKN3,Vasarely,Books,"Spies, Werner",,,"Harry N. Abrams, Inc",,ARTIST - V,,,,,,,,,
G7JFQNK8,Veronase,Books,"Orliac, Antoine",,1940,Hyperion,,ARTIST - V,,,,,1940,,,,
CDSIQ3XP,Bill Viola: Installations and Video Tapes,Books,"London, Barbara",,1987,Museum of Modern Art,,ARTIST - V,,,,,1987,,,,
37TVHUJZ,Edouard Vuillard,Books,"Ritchie, Andrew Carnduff",,1954,Museum of Modern Art,,ARTIST - V,,,,,1954,,,,
BNLIMHZX,"Lawrence Weiner: werken vanaf het begin van de jaren zestig tot aan het einde van de jaren tachtig = works from the beginning of the sixties towards the end of the eighties: Stedelijk Museum Amsterdam: 19 November 1988-January 1, 1989",Books,"Weiner, Lawrence; Bloem, Marja; Amsterdam (Netherlands)",,1988,The Museum,,ARTIST - W,Amsterdam,,,,1988,,,71,
UF9KZ9KW,The world of Watteay,Books,"Schneider, Pierre",,1967,"Time, Inc",,ARTIST - W,,,,,1967,,,,
IA88NZY6,The Work of Andy Warhol,Books,"Garrels, Gary",,1989,Dia Art Foundation,,ARTIST - W,,,,,1989,,,,
LVH2LWFS,Andy Can You Hear Us: Communing with Warhol at his Gravesite,Books,"Roehrig, Madelyn",,2020,Krieder,,ARTIST - W,,,,,2020,,,,
8836X36V,From realism to symbolism: Whistler and his world: an exhibition,Books,0,,1971,The University,,ARTIST - W,New York,"19th century; Exhibitions; 20th century; Art, Modern; Influence Exhibitions; search test; Whistler, James McNeill",,,1971,,,137,
ENC7KQNC,Betty Woodman: Opera Selecta,Books,"Joris, Yvonne",,1990,Museum Het Kruithuis,,ARTIST - W,,,,,1990,,,,
CIPJR6SX,Betty Woodman,Books,"Crommelin, Liesbeth",,1996,Stedelijk Museum Amsterdam,,ARTIST - W,,,,,1996,,,,
CQQRTLBB,Irving R. Wiles,Books,"Reynolds, Gary A.",,1988,National Academy of Design,,ARTIST - W,,,,,1988,,,,
7MPQEZ5B,Rachel Whiteread,Books,"Mullins, Charlotte",,2004,Tate,,ARTIST - W,,,,,2004,,,,
75RZ33SU,Edward Weston,Books,"Newhall, Nancy",,1946,Museum of Modern Art,,ARTIST - W,,,,,1946,,,,
KQASWUKI,Christopher Woll,Books,"Goldstein, Ann",,1998,Museum of Contemporary Art Los Angelos,,ARTIST - W,,,,,1998,,,,
ETJ5FNNR,Frank Lloyd Wright on architecture,Books,"Wright, Frank Lloyd",,1959,Grosset & Dunlap,,ARTIST - W,New York,Architecture,,,1959,,,275,
UL974URT,simply Wright: A Journey into the Ideas of Frank Lloyd Wirght's Architecture,Books,"Fleming, Diane Bresnan",,2004,Frank Lloyd Wright Foundation,,ARTIST - W,,,,,2004,,,,
BT8HBE76,frank lloyd wright,Books,"Scully Jr, Vincent",,1969,"George Braziller, Inc",,ARTIST - W,,,,,1969,,,,
72JXXSDX,The Architecture of Frank Lloyd Wright,Books,"Levine, Neil",,1996,Princeton University Press,,ARTIST - W,,,,,1996,,,,
T2T85XDD,Merchant Prince and master Builder: Edgar J. Kaufmann and Frsnk Lloyd Wright,Books,"Cleary, Richard L.",,1999,Heinz Architectural Center,,ARTIST - W,,,,,1999,,,,
GFXJ7JT6,Frank Lloyd Wright,Books,"McCarter, Robert",,1997,Phaidon Press,,ARTIST - W,,,,,1997,,,,
F2CUI9IV,The Shock of the Old: Architectural Drawings from Frank Lloyd Wright to Robert Adam,Books,"Monkhouse, Christopher",,1993,Carnegie Museum of Art,,ARTIST - W,,,,,1993,,,,
G7697KWH,Frank Lloyd Wright's Martin House Complex,Books,"Courtin, John C.",,2004,Martin House Restoration Corp,,ARTIST - W,,,,,2004,,,,
J7GP3V7M,Frank Lloyd Wright,Books,0,,2005,,,ARTIST - W,,,,,2005,,,,
934GBB4K,Toots Zynsky,Books,"Danto, Arthur",,2001,Glasmuseet Eberltoft,,ARTIST - Z,,,,,2001,,,,
B4GN5FKY,Joe Zucker Ravenna,Books,0,,2003,GBE,,ARTIST - Z,,,,,2003,,,,
RDXGYW7P,Picasso: The Artist of the Century,Books,"Leymarie, Jean",,1971,Viking Press,,ARTSIT - P OVERSIZE,,,,,1971,,,,
JK6J8KQU,David Smith Points of Power: Nudes Paintings Ceramics Sculptures Photographs,Books,Galerie Gmurzynska,,2012,Galerie Gmurzynska,,ARTIST - S OVERSIZE,,,,,2012,,,,
IQIAN7L3,The Sculptures of Michelangelo,Books,"Goldscheider, Ludwig",,1940,Oxford University Press,,ARTIST - M OVERSIZE,,,,,1940,,,,
KHNCX7HA,The Sistine Chapel,Books,"De Campos, D. Redig",,,Reynal and Company,,ARTIST - M OVERSIZE,,,,,,,,,
RHNZ4PUP,Georgia O'Keefe,Books,"O'Keefe, Georgia",,1976,Viking Press,,ARTIST - O OVERSIZE,,,,,1976,,,,
IHUPR2XZ,Forma e Colore: Raffaello: Stanze Vaticane di Gian Lorenzo,Books,0,,1965,Sadea/Sansoni Editori,,ARTIST - R OVERSIZE,,,,,1965,,,,
IEP9WNEE,Donatello: Parte Prima,Books,0,,1966,Proprieta Letteraria e Artistica Riservata,,ARTIST - D OVERSIZE,,,,,1966,,,,
BD67XJDL,Gian Lorenzo Bernini: Parte Prima,Books,"Fabbri, Dino",,1966,Proprieta Letteraria e Artistica Riservata,,ARTIST - B OVERSIZE,,,,,1966,,,,
CVHULJJF,"Augustus Saint-Gaudens, master sculptor",Books,"Greenthal, Kathryn; Saint-Gaudens, Augustus; Metropolitan Museum of Art (New York, N.Y.)",,1985,Metropolitan Museum of Art ; Distributed by G.K. Hall,,ARTIST - S OVERSIZE,"New York, N.Y. : Boston","Criticism and interpretation; Saint-Gaudens, Augustus",,,1985,,,176,
72WSCCG4,"John Singer Sargent: paintings, drawings, watercolors",Books,"Ormond, Richard",,1970,Harper & Row,,ARTIST - S OVERSIZE,New York,"Sargent, John Singer",,1st U.S. ed.,1970,,,264,
8IN7ZXPZ,"Sargent and Impressionism: Adelson, Warren",Books,0,,2010,Adelson Galleries,,ARTIST - S OVERSIZE,,,,,2010,,,,
