SI,Title,Type,Authors,ISBN,ISBN13,Publication Year,Publisher,Category,Call No,Location,Subject,Series,Edition,Year,Description,Tags,Num Pages,Place
AEVTEA64,Mixed Blessings: New Art in a Multicultural America,Books,"Lippard, Lucy R.",0-679-72966-6,,1990,Pantheon Books,,MODERN,,0,,,1990,,,,
KLBE59GY,Symbols and legends in Western art: a museum guide,Books,"Whittlesey, Eunice S.",0-684-12583-8,,1972,Scribner,,General Reference,New York,Symbolism in art; Dictionaries; Mythology; Art and mythology; Symbolism,,,1972,,,367,
H89CT7XF,Readings in art history,Books,0,0-684-17619-X,,1982,Scribner,,Art History,New York,History; Art,,3rd ed,1982,,,2,
MINPAFQP,Boundaries,Books,"Lin, Maya Ying",0-684-83417-0,,2000,Simon & Schuster,,Artist M,New York,"Lin, Maya Ying; Notebooks, sketchbooks, etc; Sources",,,2000,,,1,
JXV7RXEZ,Superrealist painting & sculpture,Books,"Lindey, Christine",0-688-03686-4,,1980,Morrow,,MODERN,New York,"20th century; United States; Art, American; Photo-realism",,,1980,,,160,
DEVLFMPB,An enduring image: American painting from 1665,Books,"Freedgood, Lillian",0-690-26619-7,,1970,Crowell,,AMERICAN,New York,"Painting, American",,,1970,,,387,
FCNYLNLN,Rubens: The Artist as Collector,Books,"Muller, Jeffrey M.",0-691-00298-3,,1989,Princeton University Press,,ARTIST - R,,0,,,1989,,,,
QE9BW3E8,"French painting between the past and the present: artists, critics, and traditions, from 1848 to 1870",Books,"Sloane, Joseph C.",0-691-00306-8,,1951,Princeton University Press,,EUROPEAN - FRANCE,"Princeton, N.J","19th century; Painting, French",Princeton monographs in art and archaeology,,1951,,,241,
9P6V9DIZ,Art and Illusion: A Study in the Psychology of Pictorial Representation,Books,"Gombrich, E. H.",0-691-01750-6,,1972,Princeton University Press,,GENERAL APPRECIATION/CRITICISM,,0,,,1972,,,,
9C9TD7UY,The stones of Athens,Books,"Wycherley, R. E.",0-691-03553-9,,1978,Princeton University Press,,ANCIENT,"Princeton, N.J",Antiquities; Excavations (Archaeology); Athens (Greece); Greece; Greece Athens,,,1978,,,293,
LGVEEPT2,"Noble dreams, wicked pleasures: orientalism in America, 1870-1930",Books,0,0-691-05003-1,,2000,Princeton University Press,,AMERICAN,"Princeton, New Jersey","19th century; Exhibitions; 20th century; Arts, American; Orientalism in art",,,2000,,,242,
BW88V8HW,Walker Evans,Books,"Evans, Walker; Hambourg, Maria Morris; Metropolitan Museum of Art (New York, N.Y.); Museum of Fine A",0-691-05078-3,,2000,"Metropolitan Museum of Art in association with Princeton University Press, Princeton",,ARTIST - E OVERSIZE,New York,"Evans, Walker; Exhibitions; Photography, Artistic",,,2000,,,318,
ZBJ3RHL5,Masterpieces of Wedgwood,Books,"Dawson, Aileen",0-7141-0531-7,,1984,British Museum Press,,DECORATIVE ARTS,,0,,,1984,,,,
UG65DMFH,The Elgin marbles,Books,"Cook, B. F.",0-7141-2134-7,,1997,published for the Trustees of the British Museum by British Museum Press,,ANCIENT,London,"Themes, motives; Greece Athens; Marble sculpture, Greek; Elgin marbles; Parthenon (Athens, Greece); Marble sculpture, Ancient",,,1997,,,96,
V3HUIRSA,The great century of British painting: Hogarth to Turner,Books,"Gaunt, William",0-7148-1452-0,,1971,Phaidon,,EUROPEAN - BRITISH ISLES,London,"19th century; 18th century; Painting, English",,,1971,,,240,
2QAH9C9A,Italian Renaissance and Baroque Sculpture,Books,"Pope-Hennessy, John",0-7148-1460-1,,1970,Phaidon Press,,RENAISSANCE - BAROQUE,,0,,,1970,,,,
GVTBJWW4,British portrait painters,Books,"Gibson, Robin; Roberts, Keith",0-7148-1479-2,,1971,Phaidon,,EUROPEAN - BRITISH ISLES,London,"Catalogs; Portrait painting, British; Portraits, British",,,1971,,,16,
2DMZAJAQ,The Pre-Raphaelites,Books,"Rose, Andrea",0-7148-2907-2,,1996,Phaidon Press,,EUROPEAN - BRITISH ISLES,,0,,,1996,,,,
WM7ZV7IX,The Story of Art,Books,"Gombrich, E. H.",0-7148-3247-2,,1995,Phaidon Press,,GENERAL HISTORY,,0,,,1995,,,,
UV3YFI6Q,Jeff Wall,Books,0,0-7148-3349-5,,1996,Phaidon Press Ltd,,ARTIST - W,London,"Photography, Artistic; Wall, Jeff",,,1996,,,160,
3W2NJ8M9,Modern architecture since 1900,Books,"Curtis, William J. R.",0-7148-3356-8,,1996,Phaidon,,ARCHITECTURE,London,"20th century; Architecture, Modern",,"3rd ed., [Rev., expanded, and redesigned]",1996,,,736,
PKSKF76N,Luc Tuymans,Books,"Loock, Ulrich",0-7148-3551-X,,1996,Phaidon Press,,ARTIST - T,London,0,Contemporary art monographs,,1996,,,160,
TJ7IDPTS,William Kentridge,Books,"Cameron, Dan; Coetzee, J. M.; Kentridge, William; Christov-Bakargiev, Carolyn",0-7148-3829-2,,1999,Phaidon,,Artist K,London,"Criticism and interpretation; Interviews; Kentridge, William",Contemporary artists,,1999,,,160,
SKU2L3W4,Mike Kelley,Books,"Welchman, John C.; Graw, Isabelle; Kelley, Mike; Vidler, Anthony",0-7148-3834-9,,1999,Phaidon,,Artist K,London,"Criticism and interpretation; Kelley, Mike",Contemporary artists,,1999,,,160,
ZKKJYLI4,Yayoi Kusama,Books,"Hoptman, Laura J.; Kultermann, Udo; Kusama, Yayoi; Tatehata, Akira",0-7148-3920-5,,2000,Phaidon,,NONFICT,London,"Criticism and interpretation; Interviews; Kusama, Yayoi",Contemporary artists,,2000,,,160,
747LYV2Z,Wolfgang Tillmans,Books,"Verwoert, Jan; Halley, Peter; Matsui, Midori; Tillmans, Wolfgang",0-7148-4192-7,,2002,Phaidon Press,,ARTIST - T,"London ; New York, NY","Criticism and interpretation; Photography, Artistic; Tillmans, Wolfgang",Contemporary artists,,2002,,,160,
QJZ588G8,"Peter Fischli, David Weiss",Books,"Fleck, Robert; Danto, Arthur C.; Fischli, Peter; Söntgen, Beate; Weiss, David",0-7148-4323-7,,2005,Phaidon,,ARTIST - F,London ; New York,"Exhibitions; Fischli, Peter; Interviews; Söentgen, Beate; Weiss, David",Contemporary artists,,2005,,,160,
AE6MFCS4,"Pissarro: Camille Pissarro, 1830-1903: [exposition] Hayward Gallery, Londres, 30 octobre 1980-11 janvier 1981: Galeries nationales du Grand Palais, Paris, 30 janvier-27 avril 1981: Museum of Fine Arts, Boston, 19 mai-9 août 1981",Books,"Pissarro, Camille; Arts Council of Great Britain; Galeries nationales du Grand Palais (France); Hayw",0-7287-0253-3,,1981,"Éditions de la Réunion des musées nationaux, Ministère de la culture et de la communication",,ARTIST - P,Paris,"Exhibitions; Pissarro, Camille",,,1981,,,264,
7NJMB4WP,"Renoir: Hayward Gallery, London, 30 January-21 April 1985, Galeries nationales du Grand palais, Paris, 14 May-2 September 1985, Museum of Fine Arts, Boston, 9 October 1985-5 January 1986",Books,"Renoir, Auguste; Arts Council of Great Britain; Galeries nationales du Grand Palais (France); Haywar",0-7287-0419-6,,1985,Arts Council of Great Britain,,ARTIST - R,London,"Exhibitions; Renoir, Auguste",,,1985,,,324,
SDJF7AIB,Frink: a portrait,Books,"Frink, Elisabeth; Lucie-Smith, Edward",0-7475-1572-7,,1994,Bloomsbury,,ARTIST - F,London,"Biography; England; Frink, Elisabeth; Sculptors",,,1994,,,138,
VDF2DEJ2,Decorative arts,Books,"Miller, Judith",0-7566-2349-9,,2006,Dorling Kindersley,,DECORATIVE ARTS,New York,History; Decoration and ornament; Antiques,,1st American ed,2006,,,440,
EQU6U9WB,Encyclopedia of World Mythology,Books,Arthur Cotterell,0-7607-2855-0,,,Barnes and Noble,,Religion/Myth,New York,0,,,,,,,
3HKDQIFX,In the time of Picasso,Books,"Mason, Antony",0-7613-1628-0,,2002,Copper Beech Books,,K-12,"Brookfield, Conn","20th century; Art, Modern; Juvenile literature; Picasso, Pablo; Art appreciation; Influence",Art around the world,,2002,,,48,
7ZSG25IU,In the time of Warhol,Books,"Mason, Antony",0-7613-1629-9,,2002,Copper Beech Books,,ARTIST - W,"Brookfield, Conn","History; 20th century; Art, Modern; Artists; Juvenile literature; Art appreciation; Art movements",Art around the world,,2002,,,48,
QH8WL86C,In the time of Renoir,Books,"Mason, Antony",0-7613-2285-X,,2001,Copper Beech Books,,K-12,"Brookfield, Conn","19th century; France; Impressionism (Art); Artists; Biography Juvenile literature; Juvenile literature; Art, French; Art, Comparative",Art around the world,,2001,,,48,
494MSN54,Clearly inspired: contemporary glass and its origins,Books,"Chambers, Karen S.; Oldknow, Tina; Fort Wayne Museum of Art; Tampa Museum of Art",0-7649-0932-0,,1999,Pomegrante Communications,,Glass,"San Francisco, Calif",20th century; United States; Glass art; History Exhibitions; Foreign influences Exhibitions,,,1999,,,134,
Q5GDA4TC,Buildings across time: an introduction to world architecture,Books,"Moffett, Marian; Fazio, Michael W.; Wodehouse, Lawrence",0-7674-0511-0,,2004,McGraw-Hill,,Architecture,Boston,History; Architecture,,,2004,,,592,
ENXFSK2E,The lightning thief,Books,"Riordan, Rick; Riordan, Rick",0-7868-5629-7,,2005,Miramax Books/Hyperion Books for Children,,Religion/Myth,New York,"Fiction; Camps; Fantasy fiction; Fathers and sons; Friendship; Hades; Juvenile fiction; Mythology, Greek; Poseidon; Zeus",Percy Jackson & the Olympians,1st ed,2005,,,377,
KSMMVBRZ,Through ebony eyes: what teachers need to know but are afraid to ask about African-American students,Books,"Thompson, Gail L.",0-7879-7061-1,,2004,Jossey-Bass,,Docent/Museum Education,"San Francisco, CA",United States; African American students; Teaching,The Jossey-Bass education series,1st ed,2004,,,328,
INA3RG6X,"Childe Hassam, impressionist",Books,"Adelson, Warren; Cantor, Jay; Gerdts, William H.",0-7892-0587-4,,1999,Abbeville Press,,ARTIST - H,New York,"Impressionism (Art); United States; Hassam, Childe; Criticism and interpretation",,1st ed,1999,,,256,
XN6N3LXG,"William Morris: animal, artifact",Books,"Yood, James; Guildner, C. W.; Herd, Amy; Morris, William; Oldknow, Tina; Vinnedge, Robert",0-7892-0703-6,,2000,Abbeville Press,,ARTIST - M,New York,"History; 20th century; Criticism and interpretation; Glass art; Morris, William; Animals in art; Northwest, Pacific",,1st ed,2000,,,275,
6YEXMW6L,The look of the century,Books,"Tambini, Michael",0-7894-4635-9,,1999,DK Pub,,Decorative Arts,New York,History; 20th century; Industrial design,,1st pbk. ed,1999,,,512,
U2E65NMH,Romanesque sculpture: the revival of monumental stone sculpture in the eleventh and twelfth centuries,Books,"Hearn, M. F.",0-8014-1287-0,,1981,Cornell University Press,,MEDIEVAL,"Ithaca, N.Y","Sculpture, Medieval; Sculpture, Romanesque",,,1981,,,240,
5AVE5PWP,"Abstract expressionism, the formative years",Books,"Hobbs, Robert Carleton; Levin, Gail; Herbert F. Johnson Museum of Art; Whitney Museum of American Ar",0-8014-1365-6,,1981,Cornell University Press,,MODERN,Ithaca,"Exhibitions; 20th century; Biography; Painters; Painting, American; United States; Abstract expressionism",,,1981,,,140,
D7JB5T8W,"David Smith, the sculptor and his work",Books,"Marcus, Stanley E.",0-8014-1510-1,,1983,Cornell University Press,,ARTIST - S,"Ithaca, N.Y","Smith, David",,,1983,,,207,
G9TLCGVU,All that is glorious around us: paintings from the Hudson River school,Books,"Driscoll, John Paul; Palmer Museum of Art (Pennsylvania State University); Westmoreland Museum of Ar",0-8014-3489-0,,1997,Cornell University Press,,AMERICAN,Ithaca,"19th century; In art; Exhibitions; Romanticism in art; Landscape painting, American; Hudson River school of landscape painting; Hudson River Valley (N.Y. and N.J.)",,,1997,,,144,
6MDGNHRY,The origins of l'art nouveau: the Bing empire,Books,0,0-8014-4387-3,,2004,Van Gogh Museum ; Musée des Arts décoratifs ; Mercatorfonds ; Distributed in North America by Cornell University Press,,DECORATIVE ARTS,Amsterdam : Paris : Antwerp : New York,"Exhibitions; France Paris; Europe; Japonism; Influence; Art nouveau; Art Nouveau Bing (Firm); Bing, Siegfried",,,2004,,,295,
L4NPQUXX,"The mirror, the window, and the telescope: how Renaissance linear perspective changed our vision of the universe",Books,"Edgerton, Samuel Y.; Edgerton, Samuel Y.",0-8014-4758-5,,2009,Cornell University Press,,RENAISSANCE - BAROQUE,Ithaca,"Art, Renaissance; History; Perspective; Visual perception",,,2009,,,199,
NDY2UNUF,Classic Art: An Introduction to the Italian Renaissance,Books,"Wolfflin, Heinrich",0-8014-9193-2,,1980,Cornell University Press,,RENAISSANCE,,0,,,1980,,,,
LAGDZFII,Walk through walls: a memoir,Books,"Abramović, Marina; Kaplan, James",0-8041-8980-3,,2016,Crown Archetype,,Artist A,New York,"20th century; Biography; Artists; 1900-1999; Abramovic, Marina; Abramović, Marina; Artistes; Autobiographies; Biographies; BIOGRAPHY & AUTOBIOGRAPHY / Artists, Architects, Photographers; BIOGRAPHY & AUTOBIOGRAPHY / Entertainment & Performing Arts; BI",,First edition,2016,,,370,
5FXINNT2,Japanese Prints: From the Early Masters to the Modern,Books,"Michener, James A.",0-8048-0314-5,,1975,Charles E. Tuttle,,JAPANESE,,0,,,1975,,,,
IFJV8LEX,American architecture and urbanism,Books,"Scully, Vincent",0-8050-0105-0,,1988,H. Holt,,ARCHITECTURE,New York,United States; Architecture; City planning,,New rev. ed,1988,,,320,
WRHJDM2V,Islamic Patterns: An Analytical and Cosmological Approach,Books,"Critchlow, Keith",0-8052-0537-3,,1976,Schocken Books,,ISLAMIC,,0,,,1976,,,,
U2EX6G44,The New path: Ruskin and the American Pre-Raphaelites,Books,0,0-8052-0780-5,,1985,Brooklyn Museum : Distributed to the trade by Schocken Books,,AMERICAN,"Brooklyn, N.Y","19th century; Exhibitions; Painting, American; United States; Pre-Raphaelitism; Influence; Ruskin, John",,,1985,,,288,
FKPK5ZGZ,Art and culture: critical essays,Books,"Greenberg, Clement",0-8070-6681-8,,1984,Beacon Press,,GENERAL APPRECIATION/CRITICISM,Boston,"19th century; 20th century; Arts, Modern",Beacon paperback,,1984,,,278,
33L9DKSM,New directions in American architecture,Books,"Stern, Robert A. M.",0-8076-0523-9,,1977,George Braziller,,ARCHITECTURE,New York,History; 20th century; United States; 1900-1999; Architecture; 20e siècle; États-Unis,New directions in architecture,Revised edition,1977,,,152,
P7X84JAF,Gustav Klimt,Books,"Klimt, Gustav; Comini, Alessandra",0-8076-0805-X,,1975,G. Braziller,,Artist K,New York,"Klimt, Gustav",,,1975,,,29,
Z6FGZV6P,"Synchromism and American color abstraction, 1910-1925",Books,"Levin, Gail; Whitney Museum of American Art",0-8076-0882-3,,1978,G. Braziller,,AMERICAN,New York,"Painting, American; United States; Painting, Abstract; Synchromism (Art)",,1st ed,1978,,,144,
2KUUQ5NY,"Modern European sculpture, 1918-1945: unknown beings and other realities",Books,"Elsen, Albert E.; Albright-Knox Art Gallery",0-8076-0920-X,,1979,"G. Braziller in association with the Albright-Knox Art Gallery, Buffalo, N.Y",,Sculpture,New York,"Exhibitions; 20th century; Biography; Avant-garde (Aesthetics); Europe; Sculptors; Sculpture, European",,,1979,,,192,
H6BJIQ9A,The Romantics to Rodin: French nineteenth-century sculpture from North American collections,Books,0,0-8076-0953-6,,1980,Los Angeles County Museum of Art ; G. Braziller,,Sculpture,"Los Angeles, Calif. : New York","19th century; Exhibitions; United States; Sculpture; Canada; Sculpture, French",,,1980,,,368,
IX3PUCW7,American photography and the American dream,Books,"Guimond, James",0-8078-1946-8,,1991,University of North Carolina Press,,PHOTOGRAPHY,Chapel Hill,History; 20th century; United States; Documentary photography,Cultural studies of the United States,,1991,,,341,
TLE8MA3N,Visual arts,Books,"Brigham, Don L.",0-8106-0304-7,,1989,National Education Association,,Docent/Museum Education,"Washington, DC",United States; Art; Study and teaching (Elementary); Study and teaching (Secondary),Focus on fine arts,,1989,,,80,
EFXAIIKB,"The Graphic works of the impressionists: Manet, Pissarro, Renoir, Cezanne, Sisley",Books,0,0-8109-0154-4,,1972,H.N. Abrams,,IMPRESSIONISM-L,New York,"Catalogs; France; Impressionism (Art); Prints, French",,,1972,,,353,
DGAUBAAA,"The West of Buffalo Bill: frontier art, Indian crafts, memorabilia from the Buffalo Bill Historical Center",Books,0,0-8109-0219-2,,1974,H. N. Abrams,,AMERICAN,New York,In art; West (U.S.); Buffalo Bill Historical Center; Frontier and pioneer life; Frontier and pioneer life in art,,,1974,,,290,
9IMUEU7C,"19th and 20th century art: painting, sculpture, architecture",Books,"Hamilton, George Heard",0-8109-0346-6,,1970,H. N. Abrams,,GENERAL HISTORY,New York,"19th century; 20th century; Art, Modern",Library of art history,,1970,,,483,
MJA3ES3C,"Birds, beasts, blossoms, and bugs: the nature of Japan",Books,"Stern, Harold P.",0-8109-0708-9,,1976,H. N. Abrams,,JAPANESE,New York,"Art, Japanese; Nature (Aesthetics)",,,1976,,,196,
HKD4DLWW,Jonathan Borofsky,Books,"Rosenthal, Mark; Marshall, Richard; Philadelphia Museum of Art; Whitney Museum of American Art",0-8109-0740-2,,1984,H.N. Abrams,,ARTIST-B,New York,"Borofsky, Jonathan; Exhibitions",,,1984,,,202,
QWQSNSBS,The Irish World: Art and Culture of the Irish People,Books,"Evans, E.",0-8109-1120-5,,1977,"Harry N. Abrams, Inc",,EUROPEAN - BRITISH ISLES,,0,,,1977,,,,
DRRR3JQP,American paradise: the world of the Hudson River school,Books,0,0-8109-1165-5,,1987,Metropolitan Museum of Art : Distributed by H.N. Abrams,,AMERICAN,New York,"19th century; Landscape painting, American; Hudson River school of landscape painting",,,1987,,,347,
J7QNBZE7,"The history of American ceramics, 1607 to the present: from pipkins and bean pots to contemporary forms",Books,"Levin, Elaine",0-8109-1172-8,,1988,H.N. Abrams,,DECORATIVE ARTS,New York,"Pottery, American",,,1988,,,351,
V6VBBGKD,"Manet, 1832-1883: Galeries nationales du Grand Palais, Paris, April 22-August 8, 1983, the Metropolitan Museum of Art, New York, September 10-November 27, 1983",Books,"Manet, Edouard; Cachin, Françoise; Melot, Michel; Moffett, Charles S.; Wilson-Bareau, Juliet; Galeri",0-8109-1346-1,,1983,Metropolitan Museum of Art : Abrams,,Artist M,New York,"Exhibitions; Manet, Edouard",,,1983,,,548,
6SGHWB4H,Art 21: art in the 21st century,Books,0,0-8109-1397-6,,2001,H.N. Abrams,,MODERN,New York,"20th century; Biography; United States; Art; Artists; Interviews; Art, American; Forecasting",,,2001,,,216,
W8T22DHC,"The machine age in America, 1918-1941",Books,"Wilson, Richard Guy; Pilgrim, Dianne H.; Tashjian, Dickran; Brooklyn Museum",0-8109-1421-2,,1986,Brooklyn Museum in association with Abrams,,MODERN,New York,History; United States; Industrial design,,,1986,,,376,
Z48P3QHB,The last flowers of Manet,Books,"Gordon, Robert; Forge, Andrew",0-8109-1422-0,,1986,H.N. Abrams,,Artist M,New York,"19th century; Criticism and interpretation; Manet, Edouard; Flowers in art; Still-life painting, French",,,1986,,,48,
SCTR5DUR,Raphaelle Peale still lifes,Books,"Cikovsky, Nicolai; Bantel, Linda; Wilmerding, John; National Gallery of Art (U.S.); Pennsylvania Aca",0-8109-1474-3,,1988,National Gallery of Art,,ARTIST - P,Washington,"19th century; Exhibitions; Peale, Raphaelle; Still-life painting, American",,,1988,,,132,
U558KP2M,Art Nouveau Bing: Paris style 1900,Books,"Weisberg, Gabriel P.; Smithsonian Institution; Virginia Museum of Fine Arts",0-8109-1486-7,,1986,Abrams ; Smithsonian Institution Traveling Exhibition Service,,DECORATIVE ARTS,"New York : Washington, D.C","France Paris; Art nouveau; Art Nouveau Bing (Firm); Bing, Siegfried",,,1986,,,295,
E6NS5DVR,Van Gogh in Arles,Books,"Gogh, Vincent van; Pickvance, Ronald; Metropolitan Museum of Art (New York, N.Y.)",0-8109-1727-0,,1984,Metropolitan Museum of Art : H.N. Abrams,,ARTIST - v,New York,"History; 19th century; Exhibitions; Biography; Painters; Gogh, Vincent van; Arles (France); France Arles; Homes and haunts Exhibitions; Netherlands",,,1984,,,271,
